cases,incidence,year,rape,students,income_mean,income_median,disease_encoded,state_Johor,state_Kedah,state_Kelantan,state_Melaka,state_Negeri Sembilan,state_Pahang,state_Perak,state_Perlis,state_Pulau Pinang,state_Sabah,state_Sarawak,state_Selangor,state_Terengganu,state_W.P. Kuala Lumpur,disease_aids,disease_chancroid,disease_gonorrhea,disease_hiv,disease_syphillis,incidence_quartile_custom,incidence_encoded
114,2.98,2018,187,13666,6928.0,5652.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,1
111,2.95,2019,206,12989,8013.0,6427.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,1
210,5.58,2020,164,7064,7264.0,5690.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,1
190,5.01,2021,144,6705,7264.0,5690.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,1
271,6.74,2022,147,6938,8517.0,6879.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,1
0,0.0,2018,187,13666,6928.0,5652.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Low,0
0,0.0,2019,206,12989,8013.0,6427.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Low,0
0,0.0,2020,164,7064,7264.0,5690.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Low,0
0,0.0,2021,144,6705,7264.0,5690.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Low,0
0,0.0,2022,147,6938,8517.0,6879.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Low,0
339,8.87,2018,187,13666,6928.0,5652.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,High,2
311,8.26,2019,206,12989,8013.0,6427.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,High,2
296,7.86,2020,164,7064,7264.0,5690.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,1
268,7.06,2021,144,6705,7264.0,5690.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,1
149,3.7,2022,147,6938,8517.0,6879.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,1
310,8.11,2018,187,13666,6928.0,5652.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Moderate,1
338,8.98,2019,206,12989,8013.0,6427.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,High,2
223,5.92,2020,164,7064,7264.0,5690.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Moderate,1
165,4.35,2021,144,6705,7264.0,5690.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Moderate,1
219,5.44,2022,147,6938,8517.0,6879.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Moderate,1
311,8.14,2018,187,13666,6928.0,5652.0,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Moderate,1
345,9.17,2019,206,12989,8013.0,6427.0,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,High,2
345,9.17,2020,164,7064,7264.0,5690.0,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,High,2
